豚肉の燻製とかけまして、,漢字の公とときます。,そのこころは、どちらもばらすとハムになります。
サラダとかけまして、,BGMとときます。,そのこころは、どちらも何をかけるのか迷います。
スプレーとかけまして、,コレクターとときます。,そのこころは、どちらもしゅうしゅうしています。
ジャムおじさんとかけまして、,プランニングとときます。,そのこころは、どちらもあんを煮詰めています。
梅酒とかけまして、,音楽とときます。,そのこころは、どちらもロックは最高です。
ハリウッドとかけまして、,ごみを漁るカラスとときます。,そのこころは、どちらもたいさくます。
油断とかけまして、,安全な剣道の稽古とときます。,そのこころは、どちらもぜったいに、しないで。
大変な問題とかけまして、,中高生とときます。,そのこころは、どちらもじゅうだいです。
海とかけまして、,牛丼とときます。,そのこころは、どちらもなみがある。
落ち込んだ友人とかけまして、,空手家とときます。,そのこころは、どちらもいたわりが必須です。
目上の人への手紙とかけまして、,写真とときます。,そのこころは、どちらもはいけいがある。
今日の天気とかけまして、,お菓子売り場とときます。,そのこころは、どちらもあめが気になります。
新内閣発足とかけまして、,多忙の作家とときます。,そのこころは、どちらもかくりょうが気になります。
青とかけまして、,お腹がぺこぺこの時のごはんとときます。,そのこころは、どちらもかんしょく。
お腹とかけまして、,靴とときます。,そのこころは、どちらも歩くと減る。
ボクシング世界王者とかけまして、,ダイヤモンドの指輪とときます。,そのこころは、どちらもリングの上で輝きを放ちます。
開ける前のコーラとかけまして、,初恋とときます。,そのこころは、どちらもぜったいにふらないでください～。
新聞とかけまして、,初日の出とときます。,そのこころは、どちらも朝日に、さんけい、良い毎日を願います。
フライドチキンとかけまして、,持ち物没収とときます。,そのこころは、どちらもとりあげます。
恋人とのクリスマスデートとかけまして、,停電の夜とときます。,そのこころは、どちらもキャンドル、ないとね。
カーナビとかけまして、,一途な恋とときます。,そのこころは、どちらもカーナビ。
ワインとかけまして、,夏の夜の蛍とときます。,そのこころは、どちらもはっこうしています。
音楽とかけまして、,商店街とときます。,そのこころは、どちらもいろんな、てんぽがあります。
川柳とかけまして、,午後５時とときます。,そのこころは、どちらも１７じです。
美味しい天ぷらとかけまして、,気温の高い日が続くとときます。,そのこころは、どちらもころもがえー！
さなぎから蝶へとかけまして、,メール受信とときます。,そのこころは、どちらもへんしんする。
お好み焼きとかけまして、,ダイエット中とときます。,そのこころは、どちらもへらないと困ります。
うぐいすとかけまして、,タイムカプセルとときます。,そのこころは、どちらもうめに行く。
１人の３日分のごはんとかけまして、,小学校のランチとときます。,そのこころは、どちらもきっと、きゅうしょく。
インスタントラーメンとかけまして、,好きな人から告白された！とときます。,そのこころは、どちらもそくせきめん。
東京が私に来ました。とかけまして、,モテない男とときます。,そのこころは、どちらもじょしについて勉強しましょう。
ベーコンとかけまして、,12月24日とときます。,そのこころは、どちらもいぶしてます。
アニメの主題歌とかけまして、,ビスケットとときます。,そのこころは、どちらもこどもに人気のかしなんです。
振っても出ない貯金箱とかけまして、,新入社員とときます。,そのこころは、どちらもこれからだ。
のぼりとかけまして、,朝礼とときます。,そのこころは、どちらもあまりに長いと倒れます。
プランニングとかけまして、,ジャムおじさんとときます。,そのこころは、どちらもあんを煮詰めています。
ダイエットとかけまして、,自販機の下とときます。,そのこころは、どちらもこうかがあったりなかったり。
パーカーとかけまして、,ペットホテルとときます。,そのこころは、どちらもフード付き。
時間通りの発車とかけまして、,ローマとときます。,そのこころは、どちらもていこくでした。
ポトフとかけまして、,双子とときます。,そのこころは、どちらもそうせいじいます。
まわしをつかんだ横綱　とかけまして、,温泉とときます。,そのこころは、どちらもちから出るんです。
テニスとかけまして、,冬とときます。,そのこころは、どちらもコートがいる。
ヘアバンドとかけまして、,ホッチキスとときます。,そのこころは、どちらもかみをまとめます。
おかわり！とかけまして、,継続は力なりとときます。,そのこころは、どちらもモットー！
付き合いたてのカップルとかけまして、,楽器のチューニングとときます。,そのこころは、どちらもちょうしあわせ。
夏の山道とかけまして、,大病院とときます。,そのこころは、どちらもかが多い。
ＬＰとかけまして、,アルファベットのＡＢとときます。,そのこころは、どちらもＣＤの前です。
マグロの解体とかけまして、,十二単とときます。,そのこころは、どちらもきるのに時間がかかります。
５分だけ休憩とかけまして、,発泡酒とときます。,そのこころは、どちらもちょっと、やすめ。
水彩絵の具とかけまして、,名古屋や岐阜とときます。,そのこころは、どちらもちゅうぶに入ってます。
いい夢とかけまして、,スープとときます。,そのこころは、どちらもさめてほしくありません。
赤ペンで校正とかけまして、,人生を振り返るとときます。,そのこころは、どちらも間違いが多いと真っ赤になります。
ライザップとかけまして、,長期入院とときます。,そのこころは、どちらもとうぶん。
漁師とかけまして、,プロ野球とときます。,そのこころは、どちらもアマではありません。
ピッチャーとかけまして、,百貨店とときます。,そのこころは、どちらもとうきゅうもあります。
野球の一塁のランナーとかけまして、,本とときます。,そのこころは、どちらもきっと、リードする。
奥さんのお出かけとかけまして、,たこ焼きとときます。,そのこころは、どちらもつまようじがあるんです。
方言とかけまして、,正月番組とときます。,そのこころは、どちらも日本各地で、ことなっています。
年末の約束とかけまして、,広島とときます。,そのこころは、どちらもくれに行きます。
目の前にある山とかけまして、,秋とときます。,そのこころは、どちらもこえるものですから。
（10－4）÷3＝？とかけまして、,コーヒー豆とときます。,そのこころは、どちらもまずは、ひく。
大酒飲みのグラスとかけまして、,かつらとときます。,そのこころは、どちらもつがないとからになります。
仲良しカップルとかけまして、,中秋の名月とときます。,そのこころは、どちらもつきあってみて良かった。
ダイエット中とかけまして、,偉い人の前とときます。,そのこころは、どちらもかしこまります。
お坊さんとかけまして、,うどんとときます。,そのこころは、どちらもつるつる！
引っ越したばかりの新婚夫婦とかけまして、,竹取物語とときます。,そのこころは、どちらもかぐやは帰りました。
車とかけまして、,家とときます。,そのこころは、どちらもはしらないと困ります。
戒名とかけまして、,１２月３１日とときます。,そのこころは、どちらもおしょうがつくる。
ＴＶとかけまして、,お中元とときます。,そのこころは、どちらも良い、ほうそうを心がけます。
夏の窓辺とかけまして、,ギョーザとときます。,そのこころは、どちらもすだれがあるといい感じ。
ブログとかけまして、,戦地の兵隊とときます。,そのこころは、どちらも日々、こうしんしています。
反対とかけまして、,アルカリ性とときます。,そのこころは、どちらも逆は、さんせいです。
楽器のチューニングとかけまして、,付き合いたてのカップルとときます。,そのこころは、どちらもちょうしあわせ。
小さすぎる帽子とかけまして、,肌の強い人とときます。,そのこころは、どちらもかぶれません。
クロスカントリーとかけまして、,準備不足の試験とときます。,そのこころは、どちらも山をかけて勝ちに行きます。
呪文とかけまして、,探しても見つからないとときます。,そのこころは、どちらもまじない。
卒業とかけまして、,サンマの塩焼きとときます。,そのこころは、どちらもすだちがある。
だらだら続くイントロクイズとかけまして、,地球温暖化とときます。,そのこころは、どちらもなんきょく終わるのか？
お坊さんとかけまして、,あいづちとときます。,そのこころは、どちらもそうね。
寿司とかけまして、,名曲とときます。,そのこころは、どちらもサビに涙するでしょう。
バーバリーとかけまして、,税関とときます。,そのこころは、どちらもチェックが多い。
中秋の名月とかけまして、,仲良しカップルとときます。,そのこころは、どちらもつきあってみて良かった。
濃い緑茶とかけまして、,新学期とときます。,そのこころは、どちらもたんにんが気になります。
結果とかけまして、,かけおちとときます。,そのこころは、どちらも反対が原因です。
初級者が上級者に挑戦とかけまして、,漢文とときます。,そのこころは、どちらも最初は、かなわないのが普通。
そんなにお腹すいてるなら・・・とかけまして、,真言宗の名僧は？とときます。,そのこころは、どちらもくうかい？
信号とかけまして、,カギとときます。,そのこころは、どちらもあかないと困ります。
強い人を前にしたときとかけまして、,オーダーメイドスーツとときます。,そのこころは、どちらもしたてに出ます。
酔っ払いとかけまして、,くらげとときます。,そのこころは、どちらもただよっています。
無精ひげとかけまして、,上質の塩とときます。,そのこころは、どちらもそるといい。
トランポリンとかけまして、,天使とときます。,そのこころは、どちらもはねないと困ります。
閉店セールとかけまして、,もうすぐ止まりそうな独楽とときます。,そのこころは、どちらももうすぐ、かいてんしなくなる。
中学生とかけまして、,休日のドライブとときます。,そのこころは、どちらもこうそくがある。
夕刊とかけまして、,事務次官とときます。,そのこころは、どちらもちょうかんではありません。
発泡酒とかけまして、,５分だけ休憩とときます。,そのこころは、どちらもちょっと、やすめ。
店の看板とかけまして、,ぎゅうぎゅうの満員電車とときます。,そのこころは、どちらものれん！
最近ギターの調子が多いとかけまして、,栄養ドリンクとときます。,そのこころは、どちらもひろう。
海の上で遭難とかけまして、,真面目な男子とときます。,そのこころは、どちらもなんぱせん。
食物アレルギーとかけまして、,プロボクサーとときます。,そのこころは、どちらもげんりょうが気になります。
12月24日とかけまして、,ベーコンとときます。,そのこころは、どちらもいぶしてます。
名曲とかけまして、,寿司とときます。,そのこころは、どちらもサビに涙するでしょう。
動物アレルギーとかけまして、,コーラの容器とときます。,そのこころは、どちらもペットにびんかんです。
大岡越前とかけまして、,魚屋さんとときます。,そのこころは、どちらもさばくのが上手い！
統率の取れない部隊とかけまして、,インフルエンザとときます。,そのこころは、どちらもたいちょうが悪い。
家族が怪我で運ばれる時とかけまして、,小倉百人一首とときます。,そのこころは、どちらもたんかが集まりました。
お世話になった先生とかけまして、,大福とときます。,そのこころは、どちらもわがしです。
国とかけまして、,ペンとときます。,そのこころは、どちらもけんよりも強し。
冬とかけまして、,テニスとときます。,そのこころは、どちらもコートがいる。
新幹線とかけまして、,カスタマイズされたパソコンとときます。,そのこころは、どちらもきせいが多い。
この味付け何？とかけまして、,１２月３１日とときます。,そのこころは、どちらもおお、味噌か！
カスタマイズされたパソコンとかけまして、,新幹線とときます。,そのこころは、どちらもきせいが多い。
アルファベットのＡＢとかけまして、,ＬＰとときます。,そのこころは、どちらもＣＤの前です。
工作の時間とかけまして、,おにぎりとときます。,そのこころは、どちらものりを使いたい。
丸とかけまして、,洋食とときます。,そのこころは、どちらもはしがありません。
ドラムとかけまして、,悪いことをするとときます。,そのこころは、どちらもバチが当たる。
ぎゅうぎゅうの満員電車とかけまして、,店の看板とときます。,そのこころは、どちらものれん！
大好きな恋人とかけまして、,目玉焼きとときます。,そのこころは、どちらもきみが中心。
卓球とかけまして、,正解とときます。,そのこころは、どちらもピンポーン！
肌の強い人とかけまして、,小さすぎる帽子とときます。,そのこころは、どちらもかぶれません。
始球式とかけまして、,内気な人の恋心とときます。,そのこころは、どちらも大抵は届きません。
ミニスカートとかけまして、,結婚式のスピーチとときます。,そのこころは、どちらも短いほど喜ばれます。
好きな人から告白された！とかけまして、,インスタントラーメンとときます。,そのこころは、どちらもそくせきめん。
総務課とかけまして、,新型列車のお披露目とときます。,そのこころは、どちらもてつづきが多すぎます。
お父さんの転勤とかけまして、,ハイキングとときます。,そのこころは、どちらもてんこうに振り回されます。
ご飯に卵とかけまして、,なぞかけとときます。,そのこころは、どちらもかけてといたらうまいでしょう。
酒屋さんとかけまして、,メガネとときます。,そのこころは、どちらも色んな度があります。
チャンスとかけまして、,ガンダムとときます。,そのこころは、どちらもいい、きかいです。
黒ひげ危機一髪とかけまして、,病院とときます。,そのこころは、どちらもけんさします。
まつたけとかけまして、,500円玉とときます。,そのこころは、どちらもこうかです。
魚屋さんとかけまして、,大岡越前とときます。,そのこころは、どちらもさばくのが上手い！
ポストとかけまして、,ピアノを弾くとときます。,そのこころは、どちらもてがみを出します。
坊主とかけまして、,新聞とときます。,そのこころは、どちらもけさ。
ゴーストライターとかけまして、,いびきとときます。,そのこころは、どちらもかいてる人はわかりません。
お化粧とかけまして、,コンタクトレンズとときます。,そのこころは、どちらも落とすと良く見えません。
平等とかけまして、,オープンな性格とときます。,そのこころは、どちらもかくさないです。
音楽とかけまして、,美しい本とときます。,そのこころは、どちらもひょうしが心に響きます。
図書館とかけまして、,カラオケとときます。,そのこころは、どちらもどんどん、かし出します。
陶芸とかけまして、,オリンピックとときます。,そのこころは、どちらもかきもあります。
名指揮者とかけまして、,コシヒカリとときます。,そのこころは、どちらもたくと光ります。
マグロとかけまして、,ピカソの未発表作品とときます。,そのこころは、どちらも専門家が、かいたい。
美術とかけまして、,将棋の駒とときます。,そのこころは、どちらもかくだけではありません。
ロミオとジュリエットとかけまして、,サンタクロースとときます。,そのこころは、どちらもひげきになります。
コーヒー豆とかけまして、,（10－4）÷3＝？とときます。,そのこころは、どちらもまずは、ひく。
コレクターとかけまして、,スプレーとときます。,そのこころは、どちらもしゅうしゅうしています。
海外旅行とかけまして、,お肌の手入れとときます。,そのこころは、どちらもパックがおすすめです。
夏の夜の蛍とかけまして、,ワインとときます。,そのこころは、どちらもはっこうしています。
日記の空白とかけまして、,耳なし芳一とときます。,そのこころは、どちらもきょう書くの忘れました。
おたふくソースとかけまして、,相思相愛とときます。,そのこころは、どちらもお好みにぴったりです。
メディアとかけまして、,コーヒーとときます。,そのこころは、どちらもブレイクするのに役立ちます。
殻付くるみとかけまして、,習い事を始めてすぐ発表会とときます。,そのこころは、どちらもかじったばかりに痛い目に遭う。
遺跡とかけまして、,チケットとときます。,そのこころは、どちらもはっけんされると嬉しい。
シャンプーを多めに使うとかけまして、,徳島県とときます。,そのこころは、どちらもあわだった。
梅雨とかけまして、,プレゼントとときます。,そのこころは、どちらも早く、あけてほしい。
肉料理とかけまして、,人の気持ちとときます。,そのこころは、どちらもさかなですると怒られます。
いびきとかけまして、,ゴーストライターとときます。,そのこころは、どちらもかいてる人はわかりません。
お花見とかけまして、,豊臣秀吉とときます。,そのこころは、どちらもきのしたと呼ばれます。
カクテルとかけまして、,新しい恋人とときます。,そのこころは、どちらも振った後に出来ます。
パンダのシャンシャンとかけまして、,親が決めた将来の結婚相手とときます。,そのこころは、どちらもいいなづけだね。
安全な剣道の稽古とかけまして、,油断とときます。,そのこころは、どちらもぜったいに、しないで。
本とかけまして、,野球の一塁のランナーとときます。,そのこころは、どちらもきっと、リードする。
